time slot; number of pods; number of nodes; solution cost; time (ms) 
0; 50; 50; 747.0; 8
1; 53; 50; 855.0; 9
2; 46; 50; 661.0; 2
3; 38; 50; 553.0; 5
4; 35; 50; 455.0; 2
5; 41; 50; 602.0; 4
6; 39; 50; 567.0; 5
7; 35; 50; 460.0; 2
8; 33; 50; 420.0; 3
9; 26; 50; 325.0; 3
10; 30; 50; 381.0; 2
11; 37; 50; 460.0; 3
12; 41; 50; 587.0; 4
13; 51; 50; 787.0; 7
14; 64; 50; 1104.99999991202; 6
15; 70; 50; 1279.0; 4
16; 61; 50; 1063.0; 6
17; 71; 50; 1387.0; 4
18; 76; 50; 1535.0; 8
19; 80; 50; 1706.0; 10
