time slot; number of pods; number of nodes; solution cost; time (ms) 
0; 500; 20; 4306.0; 13
1; 595; 20; 6092.0; 14
2; 495; 20; 4169.0; 12
3; 588; 20; 5950.0; 15
4; 638; 20; 6857.0; 13
5; 550; 20; 4992.0; 11
6; 417; 20; 2826.0; 7
7; 334; 20; 1811.0; 5
8; 390; 20; 2477.0; 16
9; 302; 20; 1558.0; 5
10; 286; 20; 1429.0; 16
11; 235; 20; 1018.0; 5
12; 275; 20; 1336.0; 15
13; 292; 20; 1457.0; 16
14; 248; 20; 1106.0; 5
15; 310; 20; 1598.0; 5
16; 255; 20; 1192.0; 13
17; 243; 20; 1077.0; 11
18; 228; 20; 990.0; 5
19; 246; 20; 1090.0; 4
